School_Name,Suburb,VCE_Students,VCE_Completion%,VCE_Median,VCE_Over40%,Postcode,City
Broadford Secondary College,BROADFORD,123,94,25,2,3658,VIC FAR COUNTRY
Brunswick Secondary College,BRUNSWICK,192,99,30,6.8,3056,PRESTON
Buckley Park College,ESSENDON,237,98,31,8.9,3040,FOOTSCRAY
Bundoora Secondary College,BUNDOORA,73,92,22,1.1,3083,PRESTON
Camberwell Anglican Girls Grammar School,CANTERBURY,164,100,36,27.4,3126,HAWTHORN
Camberwell Grammar School,CANTERBURY,297,100,35,24.5,3126,HAWTHORN
Camberwell High School,CANTERBURY,341,96,32,9.9,3126,HAWTHORN
Camperdown College,CAMPERDOWN,21,100,30,1.5,3260,VIC FAR COUNTRY
Cann River P-12 College,CANN RIVER,5,75,23,0,3890,VIC FAR COUNTRY
Canterbury Girls Secondary College,CANTERBURY,257,100,32,13.1,3126,HAWTHORN
Carey Baptist Grammar School,KEW,225,100,33,10.5,3101,HAWTHORN
Caroline Chisholm Catholic College,BRAYBROOK,329,99,30,5.1,3019,FOOTSCRAY
Carrum Downs Secondary College,CARRUM DOWNS,176,95,25,1.4,3201,FRANKSTON
Carwatha College P-12,NOBLE PARK NORTH,126,100,25,1,3174,MULGRAVE
Casey Grammar School,CRANBOURNE,93,100,27,2.6,3977,FRANKSTON
Casterton Secondary College,CASTERTON,25,100,34,11.1,3311,VIC FAR COUNTRY
Castlemaine Secondary College,CASTLEMAINE,162,100,26,2.1,3450,VIC FAR COUNTRY
Cathedral College,WANGARATTA,53,97,29,5.6,3676,VIC FAR COUNTRY
Cathedral College,WANGARATTA,53,97,29,5.6,3677,VIC FAR COUNTRY
Catholic College,BENDIGO,454,100,29,4.3,3550,VIC COUNTRY
Catholic College,BENDIGO,454,100,29,4.3,3552,VIC COUNTRY
Catholic College,SALE,239,100,30,8.6,3850,VIC FAR COUNTRY
Catholic College,SALE,239,100,30,8.6,3853,VIC FAR COUNTRY
Catholic College,WODONGA,257,98,29,3.7,3689,VIC FAR COUNTRY
Catholic College,WODONGA,257,98,29,3.7,3690,VIC FAR COUNTRY
Catholic Ladies College,ELTHAM,206,100,31,5.5,3095,PRESTON
Catholic Regional College,CAROLINE SPRINGS,0,0,0,0,3023,FOOTSCRAY
Catholic Regional College,MELTON WEST,215,99,28,1.8,3337,MELB NORTH WEST
Catholic Regional College,SYDENHAM,637,100,30,4,3037,HAWTHORN
Caulfield Grammar School,ST KILDA EAST,405,100,35,25.7,3183,MOORABBIN
Caulfield Grammar School,WHEELERS HILL,267,100,34,25.2,3150,MULGRAVE
