School_Name,Suburb,VCE_Students,VCE_Completion%,VCE_Median,VCE_Over40%
Cranbourne Secondary College,Cranbourne,171,99,28,3.4
Croydon Community School,Croydon,7,0,0,0
Damascus College,Mt Clear,184,100,28,5.7
Dandenong High School,Dandenong,437,94,24,0.5
Darul Ulum College of Victoria,Fawkner,93,94,27,1.3
Daylesford Secondary College,Daylesford,75,98,26,0.5
De La Salle College,Malvern,217,100,30,6.4
Derrinallum P-12 College,Derrinallum,5,100,30,0
Diamond Valley College,Diamond Creek,173,95,27,1.6
Diamond Valley Learning Centre,Greensborough,0,0,0,0
Dimboola Memorial Secondary College,Dimboola,21,100,34,13.1
Distance Education Centre Victoria,Thornbury,404,89,28,3.9
Diversitat,Geelong,0,0,0,0
Djerriwarrh Community & Education Service,Melton,0,0,0,0
Donald High School,Donald,34,100,28,2.6
Doncaster Secondary College,Doncaster,328,98,29,5.1
Donvale Christian College,Donvale,195,100,33,10.7
Dromana Secondary College,Dromana,183,99,32,7.5
Drouin Secondary College,Drouin,181,100,27,2.2
East Doncaster Secondary College,East Doncaster,370,99,32,11.6
East Loddon P-12 College,Dingee,29,100,30,1.4
East Preston Islamic College,Preston East,33,100,24,0
Echuca College,Echuca,171,98,26,2.1
Edenhope College,Edenhope,22,100,29,0
Edinburgh College,Lilydale,30,100,31,6.5
Education Centre Gippsland,Warragul,14,0,0,0
Elisabeth Murdoch College,Langwarrin,318,98,27,3.2
Eltham College of Education,Research,160,100,32,14
Eltham High School,Eltham,270,98,29,5.2
Elwood College,Elwood,121,94,30,7.3
Emerald Secondary College,Emerald,140,96,28,3.1
Emmanuel College,North Altona,364,100,29,3.7
Emmanuel College,Warrnambool,271,98,27,3.7
Emmaus College,Burwood,289,100,30,6.1
Epping Secondary College,Epping,186,93,28,3.7
Essendon Keilor College,Essendon,195,97,25,1.7
Euroa Secondary College,Euroa,98,93,26,3.9
F.C.J. College,Benalla,88,98,28,3.4
Fairhills High School,Knoxfield,174,93,27,2.3
Federation Training,Newborough,44,42,22,0
Federation University Australia,Ballarat,27,0,0,0
Fintona Girls School,Balwyn,91,100,35,22
Firbank Grammar School,Brighton,236,99,35,24.9
Fitzroy High School,Fitzroy North,113,100,30,4.7
Flinders Christian Community College,Carrum Downs,139,100,32,6.9
Flinders Christian Community College,Traralgon,23,100,30,1.3
Flinders Christian Community College,Tyabb,142,100,29,5
Footscray City College,Footscray,168,99,29,4.7
Forest Hill College,Burwood East,148,99,25,1.9
Foster Secondary College,Foster,75,100,27,3.5
Fountain Gate Secondary College,Fountain Gate,159,99,28,1.5
Frankston High School,Frankston,498,100,31,9.3
Galen College,Wangaratta,253,100,30,4.2
Geelong Baptist College,Lovely Banks,30,100,26,4
Geelong Grammar School,Corio,219,99,31,8.2
Geelong High School,East Geelong,188,97,25,1.3
Geelong Lutheran College,Armstrong Creek,62,100,29,4.8
Genazzano F.C.J. College,Kew,286,100,35,22
Gilmore College for Girls,Footscray,49,100,29,7.4
Gilson College,Taylors Hill,106,100,27,3.2
Gippsland Grammar,Sale,173,100,32,11.3
Girton Grammar School,Bendigo,241,100,34,16.6
Gisborne Secondary College,Gisborne,249,98,26,2
Gladstone Park Secondary College,Gladstone Park,318,100,29,4.7
Glen Eira College,Caulfield East,136,99,29,5.1
Glen Waverley Secondary College,Glen Waverley,649,100,33,15.9
Gleneagles Secondary College,Endeavour Hills,240,96,28,2.9
Glenroy Neighbourhood Centre,Glenroy,0,0,0,0
Glenroy Secondary College,Glenroy,81,91,22,1.5
Glenvale School,Yarrambat,108,98,32,13
Goldfields Employment & Learning Centre,Maryborough,0,0,0,0
Good News Lutheran College,Tarneit,52,100,25,0.6
Good Shepherd College,Hamilton,11,100,30,3.8
Gordon Institute,Geelong,149,94,24,0
Goroke P-12 College,Goroke,18,100,29,7.4
Goulburn Ovens Institute of TAFE,Shepparton,34,0,0,0
Goulburn Valley Grammar School,Shepparton,147,100,34,17.2
Greensborough Secondary College,Greensborough,148,98,28,3
Grovedale College,Grovedale,152,100,27,4.6
Haileybury College,Keysborough,475,100,35,26.1
Haileybury Girls College,Keysborough,333,100,36,29.5
Hallam Senior Secondary College,Hallam,348,90,21,0.2
Hampton Park Secondary College,Hampton Park,205,99,25,0.7
Hawkesdale College,Hawkesdale,31,94,25,0
Healesville High School,Healesville,77,97,24,1.4
Heathdale Christian College,Werribee,95,100,29,6.5
Heatherton Christian College,Clarinda,48,100,31,13.7
Heathmont College,Heathmont,74,95,28,3.2
Heritage College,Officer,33,100,26,2.3
Heywood and District Secondary College,Heywood,35,100,22,1.6
Highvale Secondary College,Glen Waverley,250,96,29,4.3
Highview Christian Community College,Maryborough,75,98,27,4.8
Hillcrest Christian College,Clyde North,144,99,29,6.4
Holmes Secondary College,Melbourne,14,92,26,0
Holmesglen Institute of TAFE,Holmesglen,0,0,0,0
Holmesglen Institute of TAFE,Moorabbin,76,0,0,0
Hopetoun P-12 College,Hopetoun,18,100,27,0
Hoppers Crossing Secondary College,Hoppers Crossing,230,99,28,4.9
Horsham College,Horsham,148,96,29,6.4
Hume Anglican Grammar,Mickleham,57,100,28,2.3
Hume Central Secondary College,Broadmeadows,155,100,23,1.9
Huntingtower School,Mt Waverley,165,100,37,30
Ilim College Boys Campus Dallas,Dallas,67,100,28,3.8
Ilim College of Australia,Broadmeadows,100,98,29,7.8
Ivanhoe Girls Grammar School,Ivanhoe,276,100,34,19.6
Ivanhoe Grammar School,Ivanhoe,309,99,33,13.2
Ivanhoe Grammar School,Mernda,129,100,34,16.3
John Fawkner College,Fawkner,60,85,25,1.9
John Monash Science School,Clayton,410,100,34,16.8
John Paul College,Frankston,213,100,28,3.2
Kambrya College,Berwick,235,97,30,3.3
Kangan Institute of TAFE,Broadmeadows,86,81,19,0
Kaniva P-12 College,Kaniva,20,100,30,4.8
Kardinia International College,Bell Post Hill,291,100,31,9.4
Keilor Downs College,Keilor Downs,245,100,29,5.9
Kensington Community High School,Kensington,7,0,0,0
Kerang Christian College,Kerang,20,100,27,0
Kerang Technical High School,Kerang,75,91,26,2.6
Kew High School,Kew East,337,99,30,7.9
Keysborough Secondary College,Chandler,136,96,27,2.4
Keysborough Secondary College,Heatherhill,187,99,28,3
Kilbreda College,Mentone,267,100,30,7.3
Killester College,Springvale,229,100,31,7.2
Kilvington Grammar School,Ormond,156,100,35,22.2
Kings College,Warrnambool,23,100,31,7.4
Kingswood College,Box Hill,141,100,32,8.1
Kolbe Catholic College,Greenvale Lakes,154,99,26,1.9
Koo Wee Rup Secondary College,Koo Wee Rup,197,97,28,1.1
Koonung Secondary College,Mont Albert North,252,100,31,8.9
Korowa Anglican Girls School,Glen Iris,131,100,37,29
Korumburra Secondary College,Korumburra,49,88,24,0.7
Kurnai College,Churchill,282,89,27,1
Kurunjang Secondary College,Melton,125,100,22,0.3
Kyabram Secondary College,Kyabram,106,92,24,0.4
Kyneton Secondary College,Kyneton,80,100,27,2.4
Lake Bolac College,Lake Bolac,0,0,0,0
Lakes Entrance Secondary College,Lakes Entrance,37,100,28,1.5
Lakeside Lutheran College,Pakenham,35,100,28,0
Lakeview Senior College,Caroline Springs,436,97,28,3.1
Lalor North Secondary College,Epping,92,100,26,1.6
Lalor Secondary College,Lalor,150,95,29,3.2
Lara Secondary College,Lara,139,92,23,0.7
Lauriston Girls School,Armadale,93,100,35,29.7
Lavalla Catholic College,Traralgon,276,99,27,3.1
Lavers Hill K-12 College,Lavers Hill,21,100,26,0
Laverton P-12 College,Laverton,61,97,23,0.6
Leibler Yavneh College,Elsternwick,124,100,35,27.9
Leongatha Secondary College,Leongatha,120,92,27,5.7
Lighthouse Christian College,Keysborough,59,100,29,4.4
Lighthouse Christian College Cranbourne,Cranbourne,87,98,30,9
Lilydale Heights College,Lilydale,81,100,26,0.9
Lilydale High School,Lilydale,455,99,28,3.2
Little Yarra Steiner School,Yarra Junction,20,100,31,0
Loreto College,Ballarat,216,99,31,6.7
Loreto Mandeville Hall,Toorak,208,100,36,27
Lorne P-12 College,Lorne,30,100,27,0
Lowanna College,Newborough,186,97,22,0
Lowther Hall Anglican Grammar School,Essendon,234,100,36,25.2
Loyola College,Watsonia,265,100,30,3.7
Luther College,Croydon,333,100,32,9.4
Lynall Hall Community School,Richmond,33,100,0,0
Lyndale Secondary College,Dandenong North,171,96,26,2.8
Lyndhurst Secondary College,Cranbourne,119,96,25,3
MacKillop Catholic Regional College,Werribee,240,93,30,3.5
Macleod College,Macleod,104,99,25,2.2
Macrobertson Girls High School,Melbourne,515,100,37,36.6
Maffra Secondary College,Maffra,78,96,26,2
Mallacoota P-12 College,Mallacoota,19,100,27,0
Manangatang P-12 College,Manangatang,11,100,27,2.8
Manor Lakes P-12 College,Wyndham Vale,141,91,27,2.5
