School_Name,Suburb,VCE_Students,VCE_Completion%,VCE_Median,VCE_Over40%
Viewbank College,Rosanna,277,99,32,9.8
Wallan Secondary College,Wallan,58,84,25,0.7
Wanganui Park Secondary College,Shepparton,248,99,27,2.9
Wangaratta High School,Wangaratta,167,90,28,4.3
Wantirna College,Wantirna,223,97,28,4.6
Warracknabeal Secondary College,Warracknabeal,43,100,27,2.9
Warragul Regional College,Warragul,147,95,25,4.1
Warrandyte High School,Warrandyte,136,91,26,4.2
Warrnambool College,Warrnambool,261,95,29,4.8
Waverley Christian College,Wantirna South,260,99,33,11.8
Wedderburn College,Wedderburn,30,100,29,4.2
Wellington Secondary College,Mulgrave,435,100,30,6.1
Werribee Secondary College,Werribee,313,94,30,10.1
Werrimull P-12 College,Werrimull,8,100,29,0
Wesley College,Glen Waverley,117,100,32,7.9
Wesley College,Melbourne,173,100,33,12.1
Westall Secondary College,Clayton South,97,100,28,5.1
Westbourne Grammar School,Truganina,189,100,34,15.2
Western Heights College,Hamlyn Heights,153,89,24,1.1
Western Port Secondary College,Hastings,91,96,25,0.5
Western Senior Secondary College,West Melbourne,51,0,0,0
Wheelers Hill Secondary College,Wheelers Hill,102,97,27,4.8
Whitefriars College,Donvale,289,100,30,5.9
Whittlesea Secondary College,Whittlesea,137,93,27,2.3
William Angliss Institute of TAFE,Melbourne,16,0,0,0
William Ruthven Secondary College,Reservoir,82,84,25,1.1
Williamstown High School,Williamstown,395,99,31,8.2
Wodonga Institute of TAFE,Wodonga,0,0,0,0
Wodonga Senior Secondary College,Wodonga,417,95,25,1.8
Wonthaggi Secondary College,Wonthaggi,173,99,28,4
Woodleigh School,Langwarrin South,157,100,33,14.8
Wycheproof P-12 College,Wycheproof,15,100,28,0
Wyndham Central Secondary College,Werribee,107,89,27,2.1
Wyndham Community and Education Centre,Werribee,19,0,0,0
Xavier College,Kew,399,100,33,15
Yarra Hills Secondary College,Mooroolbark,65,95,25,0.6
Yarra Valley Grammar School,Ringwood,300,99,34,20.1
Yarram Secondary College,Yarram,69,92,24,0.6
Yarrawonga College P-12,Yarrawonga,68,81,28,4.3
Yea High School,Yea,82,100,28,4.5
Yeshivah College,St Kilda East,43,100,37,20.6
Yesodei Hatorah College Billilla Campus,Brighton,21,100,34,37.9
Yuille Park Community College,Delacombe,0,0,0,0
